user_id,recommended_movies
1,"318,2503,953,53,1203,3245,3469,2197,2329,669"
2,"953,1704,2197,1961,150,53,214,2324,3469,508"
3,"2905,1275,1287,3470,952,940,1254,1303,380,349"
4,"2019,858,2905,1233,940,3405,1221,969,1788,2949"
5,"3067,2503,2132,235,1228,926,1276,1104,3089,923"
6,"1066,907,2080,945,1226,899,916,2125,3061,932"
7,"1036,1240,2905,2019,1198,1200,1214,1218,260,2947"
8,"318,1193,2503,1423,593,953,53,1207,923,2959"
9,"1193,2804,53,2503,1207,2197,953,2329,3897,1276"
10,"497,838,1172,11,892,1871,345,3851,1002,3536"
11,"2324,1243,1276,1060,1273,2788,3897,1279,1236,3410"
12,"318,1213,296,2905,2194,1953,50,2019,608,1945"
13,"2905,1200,1240,1214,940,2662,969,2019,858,1253"
14,"3307,1172,58,318,912,1211,2324,858,527,898"
15,"2324,2329,2503,678,669,908,572,1236,1935,3916"
16,"898,1172,3307,916,3022,905,2248,2858,3897,3306"
17,"1199,1175,2019,2594,29,1965,1306,923,2968,671"
18,"2324,953,318,1172,954,2329,3307,1243,858,2905"
19,"2905,3578,2019,1136,2924,2804,745,1449,1968,318"
20,"858,1196,1036,2905,1200,2019,1610,1221,1242,1953"
21,"1196,2905,260,1215,2571,741,1198,750,1148,1199"
22,"2804,1273,1236,1449,562,1276,3022,101,1279,1281"
23,"1270,1374,1253,1210,1198,2905,2662,1197,1301,286"
24,"3307,2804,1276,909,1172,1244,3083,3363,3022,649"
25,"2905,589,1240,1200,1215,1036,2640,1127,2916,1584"
26,"3245,668,2501,3897,53,2861,3200,1172,3307,58"
27,"670,2324,2238,2804,3307,909,1104,668,3451,3089"
28,"3307,1211,1172,2804,1236,2503,3083,1276,2324,909"
29,"2019,2905,3384,1218,3578,2028,1233,2347,2924,3430"
30,"3245,953,2197,1193,2324,2329,1704,557,2804,214"
31,"1002,598,1446,3421,1830,2324,1537,3552,3306,2804"
32,"3307,908,1172,3090,53,1423,2804,1207,1236,2908"
33,"457,1036,3578,572,2503,2329,2197,557,3245,53"
34,"1172,1226,2706,905,3421,955,3022,1136,3451,3897"
35,"668,3307,1104,1237,3245,926,923,3089,3415,2503"
36,"2804,3897,2324,649,1236,2019,318,909,3022,3363"
37,"916,898,539,915,1172,1188,3097,2843,2935,3307"
38,"3307,1172,916,898,11,2248,2804,1226,2935,936"
39,"1136,3307,3022,2324,1276,1449,3629,2804,1281,1243"
40,"527,2905,1233,1250,1299,2028,1178,1224,3091,1939"
41,"912,1097,527,1197,750,1356,969,17,2905,1198"
42,"2905,1215,2532,1676,29,2019,3300,1205,3417,3576"
43,"905,898,1172,2937,3307,1226,1235,1537,3851,598"
44,"3114,588,2905,2355,905,2081,1281,3022,3159,2096"
45,"597,1172,898,1564,936,3307,3072,3353,2171,3739"
46,"1997,1258,3832,1329,2513,1128,1345,2550,1991,1321"
47,"53,2503,2197,1225,2609,1207,2501,2357,3245,2731"
48,"2905,2019,3307,1172,1236,1276,908,953,53,3245"
49,"2019,1214,1240,1221,2905,1953,1233,593,1198,1610"
50,"668,318,53,1207,2324,1172,1193,2503,2609,326"
51,"905,2804,2324,955,3363,3451,3083,649,947,1236"
52,"1036,3578,2905,1218,3256,2571,2058,2019,1240,1242"
53,"926,1131,2925,923,1237,669,53,2503,306,2360"
54,"2997,598,2858,3022,3814,2918,3481,1963,2804,3233"
55,"670,3147,3469,2503,908,1203,53,1207,3245,669"
56,"3022,908,745,2503,3307,649,1809,232,3363,954"
57,"2997,3317,2959,2238,1243,2289,3897,909,3504,1193"
58,"1243,3307,1276,2905,3410,1236,1233,923,3897,2503"
59,"953,2609,670,3415,527,2357,446,1900,1131,1132"
60,"1198,733,260,2905,1291,480,3755,1210,1197,1917"
61,"2858,2804,2324,1276,3363,3451,3022,905,318,649"
62,"53,1423,2503,669,668,3245,670,2609,1300,3089"
63,"1276,1193,3504,2804,2289,1228,909,3897,318,1952"
64,"2905,1196,2571,260,2019,1197,1218,3000,940,2924"
65,"3578,2905,457,110,1287,2019,349,1242,1197,474"
66,"527,1242,3035,1233,318,1250,3062,1262,2804,1224"
67,"668,3245,2925,1423,2503,2609,669,953,1104,1193"
68,"1236,2596,232,3787,3317,3897,3083,1172,1235,1162"
69,"1952,2959,923,1104,926,1193,3038,669,1300,1237"
70,"2324,1236,3083,3897,1734,2804,3410,3317,909,345"
71,"2905,1197,1036,1287,1291,2804,733,457,3578,2880"
72,"3307,318,1276,568,1172,2431,2329,3451,2804,3363"
73,"2905,2019,260,2924,1214,1218,1136,858,3000,1233"
74,"2503,668,1237,3089,318,923,669,308,2624,1193"
75,"1005,2042,3754,917,1843,881,569,811,2032,2079"
76,"1193,858,53,2503,668,2804,2197,1423,2329,1207"
77,"3629,3022,1537,1449,951,3462,1136,2937,905,3306"
78,"3022,3307,3462,3306,2804,905,1276,1236,3814,3532"
79,"904,1212,924,903,3730,608,908,111,1264,1252"
80,"318,2197,1207,1246,2324,3095,2925,2019,668,2609"
81,"923,858,2019,953,3089,2351,1104,2503,1237,926"
82,"908,678,953,1207,1674,2028,1036,1193,454,53"
83,"1197,2324,1172,318,1243,1210,497,1246,3451,2905"
84,"2905,1374,1242,1287,2944,2019,858,3793,589,1221"
85,"2804,1236,2324,2503,1276,1968,1904,3382,2931,1423"
86,"733,2905,1917,380,1197,2045,1198,2880,349,1552"
87,"1210,3753,1610,2905,1101,780,3107,2628,1608,2403"
88,"953,3092,2503,2925,3245,213,3095,2357,2501,2609"
89,"318,953,3916,150,1099,3469,1246,2329,3245,1900"
90,"649,3868,1236,3814,2924,1517,3911,1276,2804,2503"
91,"955,3022,905,1136,951,1002,2804,2324,1537,3088"
92,"916,3022,905,597,955,1226,2324,2302,1172,1220"
93,"2905,1374,3000,3310,1242,745,940,1788,110,1527"
